u,v,key,geohash,mesafe_km,highway,name,length
959578674,959578673,0,sxk90u,0.23973667965766673,living_street,Bestekar Rauf Yekta Sokağı,93.14274388751986
959578674,959578678,0,sxk90u,0.17922719651616148,living_street,Aydınlar Sokağı,108.02293474840846
959578675,959578674,0,sxk90u,0.2220206232794817,living_street,Bestekar Rauf Yekta Sokağı,59.749345509672814
959578675,11556721691,0,sxk90u,0.24384205769748257,living_street,Bestekar Rakim El Kutlu Sokağı,19.235502970698754
959578676,959578671,0,sxk90u,0.28653996564323886,secondary,Şükran Çiftliği Sokağı,59.91491396955719
959578676,959578675,0,sxk90u,0.2250946244957616,living_street,Bestekar Rauf Yekta Sokağı,39.87449200211028
959578678,959578685,0,sxk90u,0.10294153470610252,secondary,Ak Mescit Sokağı,69.87603691004514
959578685,959578675,0,sxk90u,0.2250946244957616,living_street,Bestekar Rakim El Kutlu Sokağı,125.85188665031079
959578685,9038284123,0,sxk90u,0.11267654854381828,secondary,Ak Mescit Sokağı,63.10652454570655
959578692,8857549280,0,sxk90g,0.2604048089942193,secondary,Fişekhane Caddesi,16.55849299586625
