osmid,lat,lon
988336709,40.9788927,28.8566641
988336722,40.9788596,28.85805
988336728,40.9789202,28.8533289
988336736,40.9788932,28.8521091
988336773,40.9780023,28.85255
988336774,40.9776874,28.8527104
988336780,40.9797437,28.8515963
988336793,40.9798914,28.8517498
988336804,40.979707,28.8516583
988336809,40.979889,28.8519542
988336814,40.9799414,28.8552484
988336828,40.9778701,28.8579892
988336903,40.9775126,28.8523277
988336947,40.9772152,28.8519318
988336962,40.9775395,28.8516098
988336963,40.9775923,28.8517636
988336966,40.9775012,28.8526868
988336991,40.9780131,28.8513775
988337008,40.9756321,28.8507604
988337275,40.9773564,28.8580143
988337300,40.9789838,28.8640714
990483757,40.9858382,28.8565054
990483759,40.9857217,28.8564262
990483765,40.9845627,28.8574121
990483791,40.9820048,28.8588932
990483820,40.9861693,28.8538555
990483823,40.9856411,28.8565877
990483881,40.9857238,28.856728
1005964192,40.9860582,28.8586829
1005964207,40.9858202,28.8586037
1005964266,40.9873071,28.8526202
1005964477,40.9835394,28.8617603
1005964489,40.9843158,28.8591209
1005964789,40.985561,28.853123
1005965040,40.9862301,28.8526136
1005965048,40.986549,28.8525556
1005965054,40.9864321,28.8520172
1005965072,40.9865747,28.8530263
1005965102,40.9862351,28.8530388
1005965276,40.9859563,28.8552164
1005965361,40.9848087,28.8558092
1005965388,40.984017,28.8544322
1005965393,40.9838137,28.8535741
1005965418,40.9835721,28.8553513
1005965421,40.9827632,28.8555833
1005965425,40.9819473,28.8556688
1005965430,40.9841307,28.8558613
1005965431,40.9839015,28.8556868
1005965455,40.9828105,28.8562046
1005965457,40.9826774,28.8549481
1005965580,40.9830486,28.8536908
1005965583,40.9830588,28.8537152
1005965602,40.9832148,28.8534951
1005965605,40.9831553,28.8534849
1005965681,40.9812113,28.8565176
1005965693,40.9830769,28.8543307
1005965720,40.9806561,28.8564902
1005965733,40.980908,28.8570951
1005965802,40.9811958,28.8592778
1005965809,40.9814932,28.8593371
1005965824,40.9813163,28.8596391
1005965861,40.9799852,28.8496847
1005965874,40.9803972,28.8470359
1007403343,40.9808338,28.8497247
1007403439,40.9851147,28.8411028
1007404471,40.9863982,28.8464567
1007404472,40.986278,28.8464673
1007404478,40.9850859,28.8465275
1007404499,40.9857693,28.8490493
1007404522,40.9844583,28.8516887
1007404583,40.9809067,28.8493814
1007404590,40.9823808,28.8472893
1007404601,40.9824578,28.8442964
1007404665,40.9848307,28.8415132
1007404712,40.9863102,28.8493262
1007404715,40.9864334,28.8490487
1007404730,40.9863119,28.8489224
1007406269,40.9890867,28.8411202
1007406271,40.9904895,28.8410393
1007407093,40.9867543,28.8429763
1007407119,40.9878167,28.8441652
1007407174,40.9872445,28.8450713
1007407179,40.987255,28.8464901
1007407182,40.9867464,28.8451786
1007407200,40.9867448,28.8450771
1007407277,40.9890786,28.8490577
1007407430,40.991087,28.8469352
1007407445,40.9902437,28.8462675
1007407462,40.98903,28.8429718
1007407471,40.9890762,28.8450258
1007407477,40.9878489,28.8464719
1007407579,40.9851706,28.8414282
1007407598,40.9852935,28.8412642
1007407665,40.9854142,28.8408957
1007407683,40.9904801,28.8429665
1007407687,40.9878153,28.8429763
1007407698,40.9857035,28.8429971
1007407721,40.9903414,28.8450235
1007407724,40.9878418,28.8450778
1007407745,40.9878179,28.8490728
1007407748,40.9890431,28.8392545
1007876515,40.980856,28.8486538
1007876516,40.9811482,28.8490194
1007876520,40.9814597,28.8485952
1007876563,40.9807295,28.8475236
1007876740,40.9852507,28.8481541
1007877240,40.9839084,28.8462875
1007877273,40.9817388,28.8493083
1007877278,40.981322,28.8487776
1007877351,40.9845536,28.8517123
1007877362,40.981723,28.8511533
1007877375,40.9811239,28.8509459
1007877400,40.9821025,28.8522322
1007877440,40.9818086,28.8512798
1007877597,40.9838201,28.8500697
1007877603,40.9843558,28.8493524
1007877666,40.9845898,28.8500593
1007877814,40.9839338,28.8520229
1007878915,40.9837681,28.8420983
1020936890,40.9872158,28.7971774
1020936925,40.9878306,28.7950208
1020937359,40.9870839,28.7897037
1020937365,40.9875893,28.7908425
1020941104,40.999178,28.7999209
1025668939,40.9814654,28.7813104
1026970610,40.9654846,28.833851
1026970692,40.9819016,28.8396821
1026970698,40.9823573,28.8388714
1026970752,40.9802928,28.8406769
1026970818,40.9688872,28.8342715
1026970846,40.9645003,28.8333996
